t_rel_s,event,seq,info
1.566543,ack,298,
1.56771,ack,297,
1.568093,send,313,
1.568468,send,314,
1.569041,ack,299,
1.569317,send,315,
1.569548,ack,303,
1.569713,ack,302,
1.569727,ack,300,
1.569878,send,316,
1.569904,ack,301,
1.570352,send,317,
1.570562,send,318,
1.570672,send,319,
1.570866,ack,304,
1.57102,send,320,
1.571172,ack,305,
1.571181,send,321,
1.571488,ack,307,
1.571796,ack,310,
1.57194,ack,306,
1.572083,send,322,
1.572196,send,323,
1.572224,ack,308,
1.572449,send,324,
1.572476,ack,309,
1.572751,send,325,
1.57308,send,326,
1.573142,ack,313,
1.573174,ack,314,
1.573289,ack,316,
1.573315,ack,315,
1.573339,ack,318,
1.573363,ack,319,
1.573538,ack,317,
1.574111,ack,320,
1.575028,ack,323,
1.575039,ack,324,
1.575257,ack,322,
1.575809,ack,325,
1.575905,ack,326,
1.666415,timeout,311,deneme=0
1.667125,retransmit,311,
1.667141,timeout,312,deneme=0
1.667185,retransmit,312,
1.67018,ack,311,
1.67081,send,327,
1.67216,timeout,321,deneme=0
1.672508,retransmit,321,
1.67511,ack,327,
1.676118,ack,321,
1.767589,timeout,312,deneme=1
1.768328,retransmit,312,
1.772057,ack,312,
1.772742,send,328,
1.773252,send,329,
1.773774,send,330,
1.774863,send,331,
1.776117,send,332,
1.776562,send,333,
1.778141,send,334,
1.78002,send,335,
1.780333,send,336,
1.78078,send,337,
1.781166,send,338,
1.781481,send,339,
1.78189,send,340,
1.782263,send,341,
1.782409,send,342,
1.783158,send,343,
1.783205,ack,329,
1.783227,ack,328,
1.784689,send,344,
1.785156,send,345,
1.785284,ack,332,
1.785515,ack,331,
1.785548,ack,333,
1.785564,ack,334,
1.785576,ack,335,
1.785617,ack,336,
1.786229,ack,338,
1.78696,ack,337,
1.786975,ack,339,
1.787248,ack,341,
1.787381,ack,340,
1.787397,ack,342,
1.787632,ack,343,
1.788069,ack,344,
1.78841,ack,345,
1.874652,timeout,330,deneme=0
1.874968,retransmit,330,
1.877596,ack,330,
1.87778,send,346,
1.877937,send,347,
1.878078,send,348,
1.878218,send,349,
1.878381,send,350,
1.878557,send,351,
1.878741,send,352,
1.879061,send,353,
1.879371,send,354,
1.879627,send,355,
1.879782,send,356,
1.881171,send,357,
1.881459,send,358,
1.88184,send,359,
1.882138,send,360,
1.882266,send,361,
1.882335,ack,350,
1.882365,ack,347,
1.882547,ack,346,
1.882819,send,362,
1.882938,send,363,
1.882997,ack,348,
1.883272,send,364,
1.883325,ack,349,
1.884388,send,365,
1.884854,send,366,
1.884892,ack,352,
1.884906,ack,354,
1.884916,ack,353,
1.884925,ack,351,
1.88533,send,367,
1.885673,send,368,
1.885802,send,369,
1.886175,send,370,
1.886277,ack,356,
1.88631,ack,357,
1.88654,ack,358,
1.886666,ack,355,
1.886849,send,371,
1.887051,send,372,
1.887863,send,373,
1.888059,send,374,
1.888088,ack,359,
1.888168,send,375,
1.888376,ack,361,
1.88862,ack,364,
1.888647,ack,360,
1.888976,send,376,
1.889437,send,377,
1.889476,ack,362,
1.889576,send,378,
1.889609,ack,363,
1.890101,send,379,
1.890699,send,380,
1.891409,ack,365,
1.891571,send,381,
1.891648,ack,366,
1.891775,send,382,
1.891923,ack,367,
1.892082,send,383,
1.892168,ack,369,
1.892186,ack,368,
1.892392,send,384,
1.892622,send,385,
1.892656,ack,372,
1.892717,ack,371,
1.892749,ack,373,
1.892777,ack,370,
1.892941,send,386,
1.892986,send,387,
1.893328,send,388,
1.893705,send,389,
1.893942,ack,374,
1.894249,send,390,
1.894473,ack,376,
1.894531,ack,375,
1.894541,send,391,
1.894545,send,392,
1.894748,ack,378,
1.894789,ack,379,
1.894861,ack,380,
1.895341,ack,377,
1.895467,send,393,
1.89557,send,394,
1.895674,send,395,
1.895774,send,396,
1.896359,ack,382,
1.896393,ack,386,
1.896419,ack,381,
1.896538,send,397,
1.897275,send,398,
1.89735,ack,385,
1.897417,ack,383,
1.897535,send,399,
1.897663,ack,389,
1.898279,ack,390,
1.898893,ack,394,
1.899031,ack,396,
1.899487,ack,393,
1.899673,ack,399,
1.899992,ack,397,
1.900183,ack,398,
1.993479,timeout,384,deneme=0
1.994038,retransmit,384,
1.994046,timeout,387,deneme=0
1.994385,retransmit,387,
1.994392,timeout,388,deneme=0
1.994691,retransmit,388,
1.996287,timeout,391,deneme=0
1.997054,retransmit,391,
1.997062,timeout,392,deneme=0
1.997798,retransmit,392,
